"","category","geography","YEAR","SEX","deaths","crude_rate","age_standardised_rate","median_age","premature_deaths_percent"
"63","Remoteness area","Unknown/missing",2011,"Females",179,NA,NA,NA,NA
"64","Remoteness area","Unknown/missing",2012,"Females",241,NA,NA,NA,NA
"65","Remoteness area","Unknown/missing",2013,"Females",196,NA,NA,NA,NA
"66","Remoteness area","Australia (total)",2009,"Females",68440,628.41709,479.77848,83,27.369959
"67","Remoteness area","Australia (total)",2010,"Females",69989,632.58778,474.85674,83,26.847076
"68","Remoteness area","Australia (total)",2011,"Females",71602,638.0622,471.74108,83,26.665456
"69","Remoteness area","Australia (total)",2012,"Females",72304,633.38826,463.51923,84,26.21985
"70","Remoteness area","Australia (total)",2013,"Females",71896,619.02892,450.43282,84,26.819295
"71","Remoteness area","Major Cities of Australia",2009,"Persons",91578.666,603.15974,551.7167,81,33.680748
"72","Remoteness area","Major Cities of Australia",2010,"Persons",93176.358,603.36069,543.19636,81,33.110852
"73","Remoteness area","Major Cities of Australia",2011,"Persons",95517.454,608.98944,540.50694,81,32.592919
"74","Remoteness area","Major Cities of Australia",2012,"Persons",95446.966,596.83912,524.67775,81,31.851202
"75","Remoteness area","Major Cities of Australia",2013,"Persons",95929.786,588.1029,513.5486,81,32.74876
"76","Remoteness area","Inner Regional Australia",2009,"Persons",31275.18,780.78327,622.93904,80,35.313201
"77","Remoteness area","Inner Regional Australia",2010,"Persons",31574.193,777.19235,606.42049,80,34.824555
"78","Remoteness area","Inner Regional Australia",2011,"Persons",33075.443,804.55759,612.66363,80,34.103466
"79","Remoteness area","Inner Regional Australia",2012,"Persons",33151.181,796.33372,594.93474,81,33.758723
"80","Remoteness area","Inner Regional Australia",2013,"Persons",33100.872,785.3184,576.59694,80,33.900491
"81","Remoteness area","Outer Regional Australia",2009,"Persons",14711.309,736.82838,661.09607,79,40.404192
"82","Remoteness area","Outer Regional Australia",2010,"Persons",14914.842,740.64131,652.27053,79,39.292557
"83","Remoteness area","Outer Regional Australia",2011,"Persons",14996.184,740.01729,637.00732,79,39.154728
"84","Remoteness area","Outer Regional Australia",2012,"Persons",14951.177,730.15168,613.47717,79,39.530945
"85","Remoteness area","Outer Regional Australia",2013,"Persons",15247.058,737.5684,605.37864,78,39.878579
"86","Remoteness area","Remote Australia",2009,"Persons",1766.0131,569.04286,703.10066,75,53.434377
"87","Remoteness area","Remote Australia",2010,"Persons",1844.2961,590.04071,712.35357,75,53.405305
"88","Remoteness area","Remote Australia",2011,"Persons",1816.0328,577.17616,681.13226,74,53.711955
"89","Remoteness area","Remote Australia",2012,"Persons",1809.9207,567.70426,651.59485,75,51.882316
"90","Remoteness area","Remote Australia",2013,"Persons",1782.7689,552.35466,618.23959,75,54.441559
"91","Remoteness area","Very Remote Australia",2009,"Persons",984.83105,502.55713,798.66279,67,73.282515
"92","Remoteness area","Very Remote Australia",2010,"Persons",1195.3098,597.91499,941.94981,67,72.078921
"93","Remoteness area","Very Remote Australia",2011,"Persons",995.88511,489.79723,776.55795,67,71.098472
"94","Remoteness area","Very Remote Australia",2012,"Persons",1096.7539,530.58381,828.19287,67,68.767309
"95","Remoteness area","Very Remote Australia",2013,"Persons",1041.5135,497.83874,761.67645,67,69.605257
"96","Remoteness area","Unknown/missing",2009,"Persons",444,NA,NA,NA,NA
"97","Remoteness area","Unknown/missing",2010,"Persons",768,NA,NA,NA,NA
"98","Remoteness area","Unknown/missing",2011,"Persons",531,NA,NA,NA,NA
"99","Remoteness area","Unknown/missing",2012,"Persons",642,NA,NA,NA,NA
"100","Remoteness area","Unknown/missing",2013,"Persons",576,NA,NA,NA,NA
"101","Remoteness area","Australia (total)",2009,"Persons",140760,648.9132,581.96371,80,35.420574
"102","Remoteness area","Australia (total)",2010,"Persons",143473,651.21019,574.16167,80,34.888794
"103","Remoteness area","Australia (total)",2011,"Persons",146932,657.70744,569.94683,81,34.302262
"104","Remoteness area","Australia (total)",2012,"Persons",147098,647.20326,553.6263,81,33.781561
"105","Remoteness area","Australia (total)",2013,"Persons",147678,638.5836,540.44255,81,34.449275
